City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
183,Qaqortoq,GL,2022-02-12 19:52:36,60.7167,-46.0333,28.92,98,100,2.59
184,Morada Nova,BR,2022-02-12 19:57:29,-5.1067,-38.3725,83.97,59,96,4.72
185,Pithora,IN,2022-02-12 19:57:30,21.2667,82.5167,58.86,25,8,2.82
186,Soure,BR,2022-02-12 19:57:30,-0.7167,-48.5233,82.09,77,50,10.29
187,Carnarvon,AU,2022-02-12 19:57:30,-24.8667,113.6333,82.47,61,100,8.05
188,Terre Haute,US,2022-02-12 19:57:30,39.4667,-87.4139,25.61,75,100,4.0
189,Buin,CL,2022-02-12 19:57:31,-33.7333,-70.75,92.05,17,39,14.38
190,Klyuchi,RU,2022-02-12 19:57:31,52.2667,79.1667,16.92,94,100,11.12
191,Clyde River,CA,2022-02-12 19:57:31,70.4692,-68.5914,-16.37,69,100,28.77
192,Goderich,CA,2022-02-12 19:55:44,43.7501,-81.7165,15.91,79,100,14.97
193,Santa Isabel Do Rio Negro,BR,2022-02-12 19:57:32,-0.4139,-65.0192,87.75,60,100,4.23
194,Ishigaki,JP,2022-02-12 19:57:32,24.3448,124.1572,70.39,89,98,3.98
195,Xai-Xai,MZ,2022-02-12 19:56:26,-25.0519,33.6442,74.23,79,0,7.83
196,Rassvet,RU,2022-02-12 19:57:32,46.8333,40.75,39.2,100,100,13.87
197,Upernavik,GL,2022-02-12 19:57:32,72.7868,-56.1549,-3.24,97,100,11.63
198,Bardiyah,LY,2022-02-12 19:57:33,31.7561,25.0865,55.99,66,0,7.09
199,Pangai,TO,2022-02-12 19:57:33,-19.8,-174.35,81.99,76,45,18.3
200,Vila Franca Do Campo,PT,2022-02-12 19:57:33,37.7167,-25.4333,62.2,84,100,10.0
201,Cine,TR,2022-02-12 19:57:33,37.6117,28.0614,45.5,83,53,1.57
202,Buchanan,LR,2022-02-12 19:57:34,5.8808,-10.0467,82.36,82,18,8.72
203,Coquimbo,CL,2022-02-12 19:53:16,-29.9533,-71.3436,71.33,64,20,13.8
204,Takab,IR,2022-02-12 19:57:34,36.4009,47.1133,19.13,71,52,4.07
205,Dikson,RU,2022-02-12 19:57:34,73.5069,80.5464,-2.92,78,100,26.93
206,La Ronge,CA,2022-02-12 19:57:35,55.1001,-105.2842,-10.95,58,40,4.61
207,Gazojak,TM,2022-02-12 19:57:35,41.1875,61.4036,37.67,58,6,4.05
208,San Ignacio,BZ,2022-02-12 19:57:35,17.1561,-89.0714,84.24,66,73,4.41
209,Port Keats,AU,2022-02-12 19:53:23,-14.25,129.55,78.73,84,40,3.47
210,Varkkallai,IN,2022-02-12 19:57:36,8.7341,76.7067,78.58,86,100,5.99
211,Bosaso,SO,2022-02-12 19:57:36,11.2842,49.1816,75.4,70,72,4.32
212,Mocuba,MZ,2022-02-12 19:57:36,-16.8392,36.9856,72.14,97,92,2.19
213,Bichura,RU,2022-02-12 19:57:36,50.5881,107.6022,-20.43,99,73,2.35
214,Juneau,US,2022-02-12 19:57:37,58.3019,-134.4197,39.97,99,100,4.0
215,Auki,SB,2022-02-12 19:57:37,-8.7676,160.7034,76.15,90,100,2.15
216,Pacific Grove,US,2022-02-12 19:57:37,36.6177,-121.9166,80.62,42,43,1.99
217,Arraial Do Cabo,BR,2022-02-12 19:57:35,-22.9661,-42.0278,80.46,69,75,8.05
218,Raudeberg,NO,2022-02-12 19:57:38,61.9875,5.1352,41.67,92,100,11.01
219,Sudislavl,RU,2022-02-12 19:57:38,57.8817,41.7083,17.24,96,100,8.25
220,Yeniseysk,RU,2022-02-12 19:57:38,58.4497,92.1703,-4.36,90,8,7.14
221,Shenjiamen,CN,2022-02-12 19:57:38,29.9576,122.298,46.08,93,100,9.95
222,Agadez,NE,2022-02-12 19:57:39,19.75,10.25,62.49,19,0,5.84
223,Lagoa,PT,2022-02-12 19:57:39,39.05,-27.9833,60.26,88,99,21.81
224,Laguna,US,2022-02-12 19:57:39,38.421,-121.4238,79.3,50,0,1.01
225,Luba,GQ,2022-02-12 19:57:40,3.4568,8.5547,82.29,79,81,8.23
226,Lompoc,US,2022-02-12 19:58:40,34.6391,-120.4579,86.14,30,18,5.01
227,East London,ZA,2022-02-12 19:58:40,-33.0153,27.9116,76.78,88,0,10.58
228,Yinchuan,CN,2022-02-12 19:58:40,38.4681,106.2731,28.72,72,80,4.0
229,Paragominas,BR,2022-02-12 19:58:41,-2.9667,-47.4833,83.55,66,28,4.63
230,North Battleford,CA,2022-02-12 19:57:04,52.7834,-108.2847,10.4,72,0,11.5
231,Hofn,IS,2022-02-12 19:58:41,64.2539,-15.2082,24.37,69,100,20.8
232,Velingrad,BG,2022-02-12 19:54:23,42.0272,23.9957,40.89,97,100,3.8
233,Sur,OM,2022-02-12 19:58:41,22.5667,59.5289,69.35,63,0,10.4
234,Sterling,US,2022-02-12 19:56:22,39.0062,-77.4286,60.8,47,0,12.66
235,Mafeteng,LS,2022-02-12 19:58:42,-29.823,27.2374,66.97,49,32,2.57
236,Krasnoselkup,RU,2022-02-12 19:58:42,65.7,82.4667,-7.2,91,6,12.08
237,Hervey Bay,AU,2022-02-12 19:58:42,-25.2986,152.8535,68.11,62,47,19.19
238,Longyearbyen,SJ,2022-02-12 19:58:43,78.2186,15.6401,8.44,72,0,6.91
239,Talnakh,RU,2022-02-12 19:58:43,69.4865,88.3972,-8.59,79,14,9.42
240,Byron Bay,AU,2022-02-12 19:58:43,-28.65,153.6167,68.05,69,88,13.56
241,Petropavlovka,RU,2022-02-12 19:58:43,50.6114,105.3196,-17.75,98,99,2.17
242,Jiuquan,CN,2022-02-12 19:58:44,39.7432,98.5174,24.1,56,100,4.59
243,Siguiri,GN,2022-02-12 19:58:44,11.6667,-9.5,80.91,12,0,2.46
244,Kodinsk,RU,2022-02-12 19:58:44,58.6881,99.1844,-20.72,100,26,1.92
245,Mahebourg,MU,2022-02-12 19:58:44,-20.4081,57.7,80.89,83,40,6.91
246,Gweru,ZW,2022-02-12 19:58:45,-19.45,29.8167,64.29,50,10,11.45
247,Badiraguato,MX,2022-02-12 19:58:45,25.3667,-107.5167,81.7,18,45,6.38
248,Coahuayana,MX,2022-02-12 19:58:45,18.7333,-103.6833,92.71,29,20,7.16
249,Ikalamavony,MG,2022-02-12 19:58:46,-21.15,46.5833,68.16,84,26,6.96
250,Hovd,MN,2022-02-12 19:58:46,48.0056,91.6419,-17.39,83,68,3.69
