City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
182,Johnshaven,GB,56.7949,-2.3358,45.3,89,100,10.45,overcast clouds
183,Wladyslawowo,PL,54.7909,18.4009,32.94,69,87,18.01,overcast clouds
184,Katangli,RU,51.7102,143.2326,15.28,92,95,10.33,overcast clouds
185,Puerto Ayora,EC,-0.7393,-90.3518,74.55,94,34,3.67,scattered clouds
186,Colares,PT,38.7992,-9.4469,52.32,75,37,15.01,scattered clouds
187,Kaitangata,NZ,-46.2817,169.8464,55.92,87,97,8.23,overcast clouds
188,San Patricio,US,28.017,-97.5169,48.06,45,0,12.84,clear sky
189,Ust-Ishim,RU,57.6935,71.1665,6.1,91,100,3.94,light snow
190,Dali,CN,25.7,100.1833,59.4,28,1,2.82,clear sky
191,Darhan,MN,49.4867,105.9228,-4.56,83,95,0.43,overcast clouds
192,Kouroussa,GN,10.65,-9.8833,64.87,20,8,2.84,clear sky
193,Waterloo,CA,43.4668,-80.5164,11.08,78,75,2.3,broken clouds
194,Poum,NC,-20.2333,164.0167,82.45,74,85,7.23,overcast clouds
195,Omboue,GA,-1.5746,9.2618,79.77,84,100,4.05,light rain
196,Bang Saphan,TH,11.2126,99.5117,87.75,57,32,7.9,scattered clouds
197,Alofi,NU,-19.0595,-169.9187,80.49,78,85,8.05,overcast clouds
198,Erdaojiang,CN,41.7764,126.0319,24.39,63,39,2.35,scattered clouds
199,Saint-Joseph,RE,-21.3667,55.6167,84.56,77,94,11.45,light rain
200,Kavieng,PG,-2.5744,150.7967,82.11,73,100,3.36,light rain
201,Limbe,CM,4.0242,9.2149,74.25,74,20,3.47,few clouds
202,Takoradi,GH,4.8845,-1.7554,78.78,86,45,6.58,scattered clouds
203,Koulikoro,ML,14.0,-7.75,57.7,19,5,9.42,clear sky
204,Cherskiy,RU,68.75,161.3,-15.63,98,100,8.9,overcast clouds
205,Rudnya,RU,54.947,31.0934,24.93,88,26,11.25,scattered clouds
206,Deer Lake,CA,49.1667,-57.4316,39.06,93,100,12.66,overcast clouds
207,Hasaki,JP,35.7333,140.8333,43.09,89,100,13.69,light rain
208,Farafenni,GM,13.5667,-15.6,69.01,12,0,9.69,clear sky
209,Batagay,RU,67.6333,134.6333,-26.03,97,45,3.47,scattered clouds
210,Kahului,US,20.8947,-156.47,74.84,79,0,6.91,clear sky
211,Marsh Harbour,BS,26.5412,-77.0636,74.7,87,100,11.56,overcast clouds
212,Mazatlan,MX,23.2167,-106.4167,67.91,69,5,6.82,clear sky
213,Aitape,PG,-3.1374,142.3475,82.22,81,45,8.39,scattered clouds
214,Naze,JP,28.3667,129.4833,65.32,76,100,10.63,overcast clouds
215,Ulaanbaatar,MN,47.9077,106.8832,-3.87,65,67,6.71,broken clouds
216,Cabedelo,BR,-6.9811,-34.8339,79.47,79,64,7.94,broken clouds
217,Abu Samrah,SY,35.3029,37.1841,51.26,48,6,3.85,clear sky
218,Svetlyy,RU,54.675,20.1347,32.05,69,94,18.32,overcast clouds
219,Iberia,US,29.9502,-91.7507,44.67,76,100,27.63,overcast clouds
220,Sinnamary,GF,5.3833,-52.95,75.6,90,24,8.79,few clouds
221,Mahon,ES,39.8885,4.2658,45.16,100,10,0.0,fog
222,Poronaysk,RU,49.2167,143.1167,24.03,84,100,7.18,overcast clouds
223,Emporia,US,38.4039,-96.1817,26.8,63,0,12.66,clear sky
224,Kiama,AU,-34.6833,150.8667,78.28,60,7,8.99,clear sky
225,Paamiut,GL,61.994,-49.6678,19.65,82,100,14.43,overcast clouds
226,Port Macquarie,AU,-31.4333,152.9167,75.16,70,68,7.36,broken clouds
227,Kaisiadorys,LT,54.8667,24.45,28.56,72,93,14.16,overcast clouds
228,Sim,RU,54.993,57.6982,23.95,90,100,7.02,light snow
229,Bethel,US,41.3712,-73.414,39.92,68,100,4.0,overcast clouds
230,Chokurdakh,RU,70.6333,147.9167,-3.33,95,99,10.4,overcast clouds
231,Mount Isa,AU,-20.7333,139.5,94.5,33,7,7.78,clear sky
232,Faya,SA,18.3851,42.4509,55.92,38,6,3.51,clear sky
233,Ancud,CL,-41.8697,-73.8203,58.53,93,34,0.83,scattered clouds
234,Byron Bay,AU,-28.65,153.6167,77.11,85,48,12.35,scattered clouds
235,Ilhabela,BR,-23.7781,-45.3581,72.9,88,30,2.13,scattered clouds
236,Luderitz,NA,-26.6481,15.1594,76.64,62,3,9.17,light rain
237,Kjollefjord,NO,70.9457,27.3465,21.34,72,8,10.11,clear sky
238,Point Pedro,LK,9.8167,80.2333,80.19,70,100,14.29,light rain
239,Bilma,NE,18.6853,12.9164,60.67,18,0,7.61,clear sky
240,Dunedin,NZ,-45.8742,170.5036,53.8,81,100,11.01,overcast clouds
241,Charagua,BO,-19.8,-63.2167,60.1,81,100,7.18,overcast clouds
242,Pangnirtung,CA,66.1451,-65.7125,-27.63,98,100,4.29,overcast clouds
243,Mastic Beach,US,40.7668,-72.8521,41.99,67,100,8.01,overcast clouds
244,Havre-Saint-Pierre,CA,50.2334,-63.5986,14.59,73,100,12.66,overcast clouds
245,Henties Bay,NA,-22.116,14.2845,71.85,74,100,4.36,overcast clouds
246,Puerto Colombia,CO,10.9878,-74.9547,78.4,81,16,24.49,few clouds
247,Adrar,MR,20.5022,-10.0711,57.25,31,100,9.73,overcast clouds
248,Faanui,PF,-16.4833,-151.75,81.63,70,77,12.84,broken clouds
249,Bitung,ID,1.4451,125.1824,85.05,76,100,9.55,overcast clouds
250,Nishihara,JP,26.1842,127.7558,69.46,94,100,9.22,mist
251,Tabou,CI,4.423,-7.3528,76.89,88,15,5.28,light rain
252,Carutapera,BR,-1.195,-46.02,75.36,95,94,5.01,overcast clouds
253,Montes Altos,BR,-5.8333,-47.0667,75.69,97,100,1.99,overcast clouds
254,Sitka,US,57.0531,-135.33,37.29,87,100,5.75,overcast clouds
255,Lexington,US,37.9887,-84.4777,26.74,64,100,6.91,overcast clouds
256,Mokolo,CM,10.7398,13.8019,68.54,23,8,5.3,clear sky
257,Yenagoa,NG,4.9247,6.2642,79.39,83,70,3.22,broken clouds
258,Pevek,RU,69.7008,170.3133,-18.0,98,100,7.87,overcast clouds
259,Macenta,GN,8.5435,-9.471,59.85,34,6,1.57,clear sky
260,Prattville,US,32.464,-86.4597,49.51,51,0,13.8,clear sky
261,Sakaiminato,JP,35.55,133.2333,46.38,76,75,11.5,light rain
262,Moranbah,AU,-22.0016,148.0466,88.45,32,52,24.34,broken clouds
263,Saint-Georges,GD,12.0564,-61.7485,77.14,70,32,17.6,scattered clouds
264,Hovd,MN,48.0056,91.6419,-5.57,86,100,4.65,overcast clouds
265,Pangody,RU,65.85,74.4859,-7.29,90,11,12.82,few clouds
266,Yar-Sale,RU,66.8333,70.8333,-7.8,95,100,14.18,overcast clouds
267,Alekseyevsk,RU,57.8406,108.3492,-3.82,85,100,3.29,overcast clouds
268,Muli,MV,2.9167,73.5667,81.25,73,100,6.26,overcast clouds
269,Khani,GE,41.9563,42.9566,31.57,94,16,1.48,few clouds
270,Korla,CN,41.7597,86.1469,37.8,30,100,6.69,overcast clouds
271,Pangkalanbuun,ID,-2.6833,111.6167,84.78,63,100,1.1,overcast clouds
272,Sobolevo,RU,54.4299,31.8996,20.7,87,20,11.01,few clouds
273,Hamilton,US,39.1834,-84.5333,25.03,77,100,11.5,overcast clouds
274,Lahij,YE,13.1667,44.5833,73.89,62,18,4.74,few clouds
275,Urucui,BR,-7.2294,-44.5561,72.48,93,83,1.86,broken clouds
276,Kuusamo,FI,65.9667,29.1833,6.22,100,100,5.57,overcast clouds
277,Ouro Branco,BR,-20.5208,-43.6919,62.33,97,92,0.85,overcast clouds
278,Vaitape,PF,-16.5167,-151.75,81.64,70,80,12.91,broken clouds
279,Nantucket,US,41.2835,-70.0995,42.91,71,0,8.05,clear sky
280,Hasilpur,PK,29.7122,72.5553,76.51,14,0,4.61,clear sky
281,Srednekolymsk,RU,67.45,153.6833,-24.74,93,82,6.35,broken clouds
282,Necochea,AR,-38.5473,-58.7368,51.04,73,4,5.01,clear sky
283,Xuddur,SO,4.1213,43.8894,80.87,38,79,18.14,broken clouds
284,Epe,NG,6.5841,3.9834,78.35,89,89,4.41,overcast clouds
285,Isangel,VU,-19.55,169.2667,86.11,79,75,4.61,broken clouds
286,Turukhansk,RU,65.8167,87.9833,2.44,80,0,8.86,clear sky
287,Rio Grande,BR,-32.035,-52.0986,65.95,93,96,13.56,overcast clouds
288,Kushnarenkovo,RU,55.105,55.3508,25.18,93,100,10.67,light snow
289,Muros,ES,42.7762,-9.0603,52.84,93,100,25.14,overcast clouds
290,Kenora,CA,49.8167,-94.4337,-13.83,70,0,3.44,clear sky
291,Grand Gaube,MU,-20.0064,57.6608,86.4,69,10,13.0,clear sky
292,Price,US,39.5994,-110.8107,32.11,64,0,6.91,clear sky
293,Diu,IN,20.7141,70.9822,79.66,30,6,7.25,clear sky
294,Lagunas,PE,-5.2269,-75.6753,69.85,98,100,2.35,overcast clouds
295,College,US,64.8569,-147.8028,12.2,82,100,0.0,light snow
